2022-01-10 17:38:36,227 - shioda_picard_computation.py:182 - INFO - ID: 4127, rho=16, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([0, 3, 0, 1]), array([3, 0, 1, 0])]
2022-01-10 17:38:38,688 - shioda_picard_computation.py:182 - INFO - ID: 4128, rho=16, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([0, 3, 0, 1]), array([3, 1, 0, 0])]
2022-01-10 17:38:38,741 - shioda_picard_computation.py:182 - INFO - ID: 4129, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([0, 3, 0, 1]), array([4, 0, 0, 0])]
2022-01-10 17:38:40,751 - shioda_picard_computation.py:182 - INFO - ID: 4161, rho=16, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([0, 3, 1, 0]), array([3, 0, 0, 1])]
2022-01-10 17:40:30,169 - shioda_picard_computation.py:182 - INFO - ID: 4161, rho=16, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([0, 3, 1, 0]), array([3, 0, 0, 1])]
2022-01-10 17:40:32,965 - shioda_picard_computation.py:182 - INFO - ID: 4162, rho=16, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([0, 3, 1, 0]), array([3, 0, 1, 0])]
2022-01-10 17:41:33,098 - shioda_picard_computation.py:182 - INFO - ID: 4163, rho=4, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([0, 3, 1, 0]), array([3, 1, 0, 0])]
2022-01-10 17:41:34,989 - shioda_picard_computation.py:182 - INFO - ID: 4164, rho=10, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([0, 3, 1, 0]), array([4, 0, 0, 0])]
2022-01-10 17:41:35,039 - shioda_picard_computation.py:182 - INFO - ID: 4196, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([0, 4, 0, 0]), array([3, 0, 0, 1])]
2022-01-10 17:41:36,913 - shioda_picard_computation.py:182 - INFO - ID: 4197, rho=10, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([0, 4, 0, 0]), array([3, 0, 1, 0])]
2022-01-10 17:41:36,960 - shioda_picard_computation.py:182 - INFO - ID: 4198, rho=20, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([0, 4, 0, 0]), array([3, 1, 0, 0])]
2022-01-10 17:41:37,008 - shioda_picard_computation.py:182 - INFO - ID: 4199, rho=18, A=[array([0, 0, 0, 4]), array([0, 0, 3, 1]), array([0, 4, 0, 0]), array([4, 0, 0, 0])]
